Последовательность;Код работы.2;Наименование работы;Код работы.3;Наименование работы2;Код работы.4;Наименование работы3;Код работы.5;Наименование работы4
2010;006;Внутренние отделочные работы;030;Внутренняя отделка помещений;086;Оштукатуривание стен;265;Оштукатуривание стен квартир и МОП
2012;006;Внутренние отделочные работы;030;Внутренняя отделка помещений;086;Оштукатуривание стен;599;Оштукатуривание стен помещений и МОП
2020;006;Внутренние отделочные работы;030;Внутренняя отделка помещений;088;Оштукатуривание потолков;273;Выравнивание потолков квартир
2030;005;Внутренние инженерные системы;027;Внутренние сантехнические системы (ОВ и ВК);066;Вентиляция;189;Клапаны дымоудаления ПД, ДУ
2040;006;Внутренние отделочные работы;030;Внутренняя отделка помещений;092;Стяжка паркинга;282;Упрочненные полы паркинга
2050;005;Внутренние инженерные системы;027;Внутренние сантехнические системы (ОВ и ВК);067;Холодоснабжение;190;Магистральные линии холодоснабжения (стояки)
2060;005;Внутренние инженерные системы;027;Внутренние сантехнические системы (ОВ и ВК);067;Холодоснабжение;191;Линейная прокладка трубопровода холодоснабжения
2070;005;Внутренние инженерные системы;027;Внутренние сантехнические системы (ОВ и ВК);067;Холодоснабжение;193;Коллектор холодоснабжения
2080;005;Внутренние инженерные системы;027;Внутренние сантехнические системы (ОВ и ВК);064;Водоснабжение и канализация;156;Пожарные шкафы
2090;005;Внутренние инженерные системы;028;Внутренние электромонтажные системы;072;Электрооборудование и оконечные устройства;212;Вмазка эл.коробок и ЩК
2100;005;Внутренние инженерные системы;028;Внутренние электромонтажные системы;072;Электрооборудование и оконечные устройства;213;Арматура розеток, выключателей, светильников в С/У
2110;007;Внутриплощадочные наружные сети;034;Наружные внутриплощадочные сети НВК, в т.ч. дренаж;109;Внутриплощадочные НВК;350;Пожарный гидрант
2120;005;Внутренние инженерные системы;028;Внутренние электромонтажные системы;072;Электрооборудование и оконечные устройства;210;Щиты этажные (ЩЭ)
2130;005;Внутренние инженерные системы;028;Внутренние электромонтажные системы;072;Электрооборудование и оконечные устройства;211;Электрические линии и щиты встроенных помещений
2140;005;Внутренние инженерные системы;028;Внутренние электромонтажные системы;072;Электрооборудование и оконечные устройства;216;Светильники тех. помещений (в т.ч. огни на кровле)
2150;007;Внутриплощадочные наружные сети;034;Наружные внутриплощадочные сети НВК, в т.ч. дренаж;109;Внутриплощадочные НВК;360;Люки и крышки на колодцах наружных сетей хозяйственно - бытовой и ливневой канализации
2160;007;Внутриплощадочные наружные сети;033;Наружные внутриплощадочные сети электроснабжения и освещения;107;Внутриплощадочные НЭС;341;Люки и крышки на колодцах наружных электрических сетей
2170;007;Внутриплощадочные наружные сети;035;Наружные внутриплощадочные слаботочные сети;111;Внутриплощадочные НСС;372;Люки и крышки на колодцах наружных сетей связи
2180;005;Внутренние инженерные системы;029;Внутренние слаботочные системы;076;Радиофикация (РФ, ГО и ЧС);232;Магистральные линии системы радиофикации (стояки)
2190;005;Внутренние инженерные системы;029;Внутренние слаботочные системы;076;Радиофикация (РФ, ГО и ЧС);231;Линейный монтаж системы радиофикации
2200;006;Внутренние отделочные работы;030;Внутренняя отделка помещений;091;Стяжка помещений;277;Фиброцементная стяжка (квартиры и МОП)
